REFERENCE,SPECIES,ISLAND,POINT_Y,POINT_X,RESERVE,TYPE,LOCALITY,ELEV_FT,ACC,DATE_,YEAR,RECENT,CODE,M,F,NUM,COLLECTOR,COLLECTION,NOTES,RECHECKED,GROUP,SUBGROUP,Duplicate,WAYPOINT,ZONE,BAND,EASTING,NORTHING,N,W,ORDER_WITH,ORDER_OVER,TAXONOMIC_,BY_ENTERED,BY_NAME
KYK database,affinidisjuncta,Maui,20.82456,-156.55294,West Maui,FR,Manawainui Gulch,,,7/21/71,1971,N,,,,,,,,,grimshawi,crucigera,,,,,,,,,,,,1621,127
KYK database,affinidisjuncta,Maui,20.82456,-156.55294,West Maui,FR,Manawainui Gulch,,,8/2/71,1971,N,,,,,,,,,grimshawi,crucigera,,,,,,,,,,,,1623,129
KYK database,affinidisjuncta,Maui,20.83590589,-156.5549128,West Maui,FR,Pohakea Gulch,,,4/13/71,1971,N,,,,,,,,,grimshawi,crucigera,,,,,,,,,,,,1619,125
KYK database,affinidisjuncta,Maui,20.83590589,-156.5549128,West Maui,FR,Pohakea Gulch,,,7/21/71,1971,N,,,,,,,,,grimshawi,crucigera,,,,,,,,,,,,1622,128
UHH,affinidisjuncta,Maui,20.83590589,-156.5549128,West Maui,FR,Pohakea Gulch,3700,A,5/29/11,2011,Y,m0411-02,1,,1,KNM,on bait sponge,,,grimshawi,crucigera,,Cler Vining,4,Q,754449.7996,2305919.047,20.83590589,-156.5549128,1804,30,5,3865,149
KYK database,affinidisjuncta,Maui,20.84459525,-156.5551345,West Maui,FR,Hanaula,,,5/7/68,1968,N,,,,,,,,,grimshawi,crucigera,,,,,,,,,,,,1616,121
KYK database,affinidisjuncta,Maui,20.84459525,-156.5551345,West Maui,FR,Hanaula,,,7/9/68,1968,N,,,,,,,,,grimshawi,crucigera,,,,,,,,,,,,1617,122
KYK database,affinidisjuncta,Maui,20.84459525,-156.5551345,West Maui,FR,Hanaula,,,2/4/72,1972,N,,,,,,,,,grimshawi,crucigera,,,,,,,,,,,,1624,130
KYK database,affinidisjuncta,Maui,20.84459525,-156.5551345,West Maui,FR,Hanaula,,,4/27/72,1972,N,,,,,,,,,grimshawi,crucigera,,,,,,,,,,,,1625,131
KYK database,affinidisjuncta,Maui,20.84459525,-156.5551345,West Maui,FR,Hanaula,,,1/12/73,1973,N,,,,,,,,,grimshawi,crucigera,,,,,,,,,,,,1626,132
KYK database,affinidisjuncta,Maui,20.84459525,-156.5551345,West Maui,FR,Hanaula,,,4/10/75,1975,N,,,,,,,,,grimshawi,crucigera,,,,,,,,,,,,1629,137
KYK database,affinidisjuncta,Maui,20.84459525,-156.5551345,West Maui,FR,Hanaula,,,6/11/86,1986,N,,,,,,,,,grimshawi,crucigera,,,,,,,,,,,,1631,139
KYK database,affinidisjuncta,Maui,20.84459525,-156.5551345,West Maui,FR,Hanaula,,,9/29/86,1986,N,,,,,,,,,grimshawi,crucigera,,,,,,,,,,,,1632,140
KYK database,affinidisjuncta,Maui,20.84459525,-156.5551345,West Maui,FR,Hanaula,,,6/15/99,1999,Y,,,,,,,,,grimshawi,crucigera,,,,,,,,,,,,1635,143
UHH,affinidisjuncta,Maui,20.84459525,-156.5551345,West Maui,FR,"Hanaula, Pohakea Gulch",4100,A,5/28/11,2011,Y,m0407-06,,1,1,KNM,on bait sponge,,,grimshawi,crucigera,,Hanaula,4,Q,754412.0911,2306881.011,20.84459525,-156.5551345,1786,29,49,3864,148
UHH,affinidisjuncta,Maui,20.85795,-156.55323,Waikapu,private,Waikapu Valley,,,5/1/11,2011,Y,m0416-05,1,,1,SLM,at baits,,,grimshawi,crucigera,,,,,,,,,1833,30,34,3870,147
UHH,affinidisjuncta,Maui,20.85809,-156.55728,Waikapu,private,Waikapu Valley,2300,,10/16/11,2011,Y,m0457-01,1,2,3,KNM,on Cyanea flowers,,,grimshawi,crucigera,,,,,,,,,,,,3989,150
BPBM,affinidisjuncta,Maui,20.87657,-156.52632,,private,ridge so. of Iao Valley,2000,C,1/5/16,1916,N,,,,1,OHS,,in neogrimshawi box,,grimshawi,crucigera,,,,,,,,,,,,3899,118
UHIM,affinidisjuncta,Maui,20.9187,-156.57523,West Maui,NAR,Eke,4500,,3/9/73,1973,N,,2,2,4,SLM,ex Freycinetia stem,in undetermined tray,,grimshawi,crucigera,,,,,,,,,,,,3931,133
UHH,affinidisjuncta,Maui,20.92281668,-156.6012124,Puu Kukui Preserve,MLP,Puu Kukui trail,3650,A,6/5/09,2009,Y,m0038-01,,1,1,KNM,on bait sponge,,,grimshawi,crucigera,,PKGRIM,4,Q,749485.7561,2315471.38,20.92281668,-156.6012124,167,3,43,19,144
UHH,affinidisjuncta,Maui,20.92281668,-156.6012124,Puu Kukui Preserve,MLP,Puu Kukui Trail,3650,A,8/18/09,2009,Y,m0107-01,,1,1,KNM,on bait sponge,"prominent preapical dorsal bristle, ciliation of tibia extends to base on anterior surface",,grimshawi,crucigera,,KAHANAIKI,4,Q,747220.0076,2317461.98,20.94109224,-156.6226995,493,8,59,114,145
KYK database,affinidisjuncta,Maui,20.93102549,-156.6106948,Puu Kukui Preserve,MLP,Puu Kukui,,,7/20/71,1971,N,,,,,,,,,grimshawi,crucigera,,,,,,,,,,,,1620,126
KYK database,affinidisjuncta,Maui,20.93102549,-156.6106948,Puu Kukui Preserve,MLP,Puu Kukui,,,7/8/97,1997,Y,,,,,,,,,grimshawi,crucigera,,,,,,,,,,,,1634,142
"Hardy, 1978",affinidisjuncta,Maui,20.93478,-156.61817,Puu Kukui Preserve,MLP,Kaulalewelewe,3000,,9/26/73,1973,N,S36,,1,1,HLC,mother of type series,,,grimshawi,crucigera,,,,,,,,,,,,1495,135
KYK database,affinidisjuncta,Maui,20.93478,-156.61817,Puu Kukui Preserve,MLP,Kaulalewelewe,,,1/25/66,1966,N,,,,,,,,,grimshawi,crucigera,,,,,,,,,,,,1614,119
KYK database,affinidisjuncta,Maui,20.93478,-156.61817,Puu Kukui Preserve,MLP,Kaulalewelewe,,,6/16/66,1966,N,,,,,,,,,grimshawi,crucigera,,,,,,,,,,,,1615,120
KYK database,affinidisjuncta,Maui,20.93478,-156.61817,Puu Kukui Preserve,MLP,Kaulalewelewe,,,8/1/68,1968,N,,,,,,,listed as disjuncta,,grimshawi,crucigera,,,,,,,,,,,,2124,123
KYK database,affinidisjuncta,Maui,20.93478,-156.61817,Puu Kukui Preserve,MLP,Kaulalewelewe,,,7/15/69,1969,N,,,,,,,,,grimshawi,crucigera,,,,,,,,,,,,1618,124
KYK database,affinidisjuncta,Maui,20.93478,-156.61817,Puu Kukui Preserve,MLP,Kaulalewelewe,,,7/5/73,1973,N,,,,,,,,,grimshawi,crucigera,,,,,,,,,,,,1627,134
KYK database,affinidisjuncta,Maui,20.93478,-156.61817,Puu Kukui Preserve,MLP,Kaulalewelewe,,,9/26/73,1973,N,S36,,,,,,,,grimshawi,crucigera,y,,,,,,,,,,,1628,136
KYK database,affinidisjuncta,Maui,20.93478,-156.61817,Puu Kukui Preserve,MLP,Kaulalewelewe,,,7/14/83,1983,N,,,,,,,,,grimshawi,crucigera,,,,,,,,,,,,1630,138
KYK database,affinidisjuncta,Maui,20.93478,-156.61817,Puu Kukui Preserve,MLP,Kaulalewelewe,,,6/9/88,1988,Y,,,,,,,,,grimshawi,crucigera,,,,,,,,,,,,1633,141
UHH,affinidisjuncta,Maui,20.94109224,-156.6226995,Puu Kukui Preserve,MLP,Kahanaiki Valley,2100,A,8/18/09,2009,Y,m0102-02,1,,1,KNM,on bait sponge,,,grimshawi,crucigera,,PK GRIM,4,Q,749485.7561,2315471.38,20.92281668,-156.6012124,521,9,25,117,146
KYK database,aglaia,Oahu,21.41312432,-158.0997093,Honouliuli,FR,Palikea,,,2/20/80,1980,N,U098,1,,1,,,,,grimshawi,aglaia,,,,,,,,,,,,840,160
KYK database,aglaia,Oahu,21.41312432,-158.0997093,Honouliuli,FR,Palikea,,,3/2/97,1997,Y,Z028,,,,,,,,grimshawi,aglaia,,,,,,,,,,,,841,161
KYK database,aglaia,Oahu,21.4403,-158.09715,Honouliuli,FR,Puu Kaua,,,8/2/70,1970,N,P049,1,1,2,,,,,grimshawi,aglaia,,,,,,,,,,,,837,157
KYK database,aglaia,Oahu,21.4403,-158.09715,Honouliuli,FR,Puu Kaua,2200,,2/28/71,1971,N,P072,1,6,7,,on rotting Urera kaalae,,,grimshawi,aglaia,,,,,,,,,,,,838,158
KYK database,aglaia,Oahu,21.4403,-158.09715,Honouliuli,FR,Puu Kaua,,,10/10/71,1971,N,Q012,,,3,,,,,grimshawi,aglaia,,,,,,,,,,,,839,159
"Hardy, 1965",aglaia,Oahu,21.50013,-158.13818,Schofield Barracks,FR,Kaala,,C,11/17/46,1946,N,,,1,1,,in banana bait trap,holotype,,grimshawi,aglaia,,,,,,,,,,,,708,151
KYK database,aglaia,Oahu,21.51645,-158.14909,Mokuleia,FR,Makaleha Valley,,,2/8/70,1970,N,P002,,1,1,,,,,grimshawi,aglaia,,,,,,,,,,,,834,154
KYK database,aglaia,Oahu,21.51921,-158.11479,Mt. Kaala,NAR,Puu Pane,,,7/1/70,1970,N,P046,,1,1,,,,,grimshawi,aglaia,,,,,,,,,,,,836,156
KYK database,aglaia,Oahu,21.52671,-158.17024,Mokuleia,FR,Makaleha Valley,,,4/26/69,1969,N,M039,1,2,3,,,,,grimshawi,aglaia,,,,,,,,,,,,832,152
KYK database,aglaia,Oahu,21.52671,-158.17024,Mokuleia,FR,Makaleha Valley,,,6/30/69,1969,N,M049,,1,1,,,,,grimshawi,aglaia,,,,,,,,,,,,833,153
KYK database,aglaia,Oahu,21.53732,-158.19045,Pahole,NAR,Peacock Flat,,,2/23/70,1970,N,P009,,1,1,,,,,grimshawi,aglaia,,,,,,,,,,,,835,155
KYK database,alsophila,Hawaii,19.72892,-155.93167,Hualalai Ranch,private,Hualalai Ranch,,C,5/28/77,1977,N,U036,,,,,,,,grimshawi,aglaia,,,,,,,,,,,,844,166
UHIM,alsophila,Hawaii,19.73655541,-155.9439205,Hualalai Ranch,private,Moanuiahea,3400,A,12/20/69,1969,N,M86G3,4,3,7,"FCV, HLC",,"originally identified as ""assita-like""",,grimshawi,aglaia,,,,,,,,,,,,848,162
"Hardy & Kaneshiro, 1971",alsophila,Hawaii,19.95761,-155.28091,Laupahoehoe,NAR,Laupahoehoe Stream,2500,,1/6/70,1970,N,,1,,1,KYK,holotype,,,grimshawi,aglaia,,,,,,,,,,,,1455,164
KYK database,alsophila,Hawaii,19.95761,-155.28091,Hilo,FR,Laupahoehoe Forest Reserve,,C,1/5/70,1970,N,M091,,,,,,,,grimshawi,aglaia,,,,,,,,,,,,842,163
KYK database,alsophila,Hawaii,19.95761,-155.28091,Hilo,FR,Laupahoehoe Forest Reserve,,C,12/9/71,1971,N,Q057,2,2,4,,,,,grimshawi,aglaia,,,,,,,,,,,,843,165
UHH,ambochila,Oahu,21.41457078,-158.0999297,Honouliuli,TNC,"Palikea, Urera sponge sta.",2950,A,9/23/09,2009,Y,,1,,1,KNM,on bait sponge,,,grimshawi,vesciseta,,PAL URERA,4,Q,593285.3349,2368297.986,21.41457078,-158.0999297,640,11,20,140,180
OANRP,ambochila,Oahu,21.4248549,-158.0904624,Honouliuli,FR,Pualii,2000,A,3/13/14,2014,Y,PUA-A,,,5,,,,,grimshawi,vesciseta,,,,,594260.0057,2369441.975,,,,,,4009,205
OANRP,ambochila,Oahu,21.4248549,-158.0904624,Honouliuli,FR,Pualii,2000,A,5/28/14,2014,Y,PUA-A,,,4,,,,,grimshawi,vesciseta,,,,,594260.0057,2369441.975,,,,,,4020,216
OANRP,ambochila,Oahu,21.4248549,-158.0904624,Honouliuli,FR,Pualii,2000,A,2/4/15,2015,Y,PUA-A,,,10,,,,,grimshawi,vesciseta,,,,,594260.0057,2369441.975,,,,,,4032,228
OANRP,ambochila,Oahu,21.4248549,-158.0904624,Honouliuli,FR,Pualii,2000,A,6/15/15,2015,Y,PUA-A,,,2,,,,,grimshawi,vesciseta,,,,,594260.0057,2369441.975,,,,,,4046,242
UHH,ambochila,Oahu,21.43872449,-158.0933734,Honouliuli,FR,Ekahanui Gulch,2200,A,3/2/11,2011,Y,m0378-02,3,,3,KNM,on bait sponge,,,grimshawi,vesciseta,,Ekahanui Urer2,4,Q,593731.3407,2370979.67,21.43877411,-158.0954776,1630,27,17,3856,186
UHH,ambochila,Oahu,21.43877411,-158.0954776,Honouliuli,FR,Ekahanui Gulch,2400,A,3/2/11,2011,Y,m0377-03,1,1,2,KNM,on bait sponge,,,grimshawi,vesciseta,,Ekahanui Urera,4,Q,593949.4333,2370975.437,21.43872449,-158.0933734,1636,27,23,3858,187
OANRP,ambochila,Oahu,21.4388614,-158.0938446,Honouliuli,FR,"Ekahanui, South",2200,A,9/18/13,2013,Y,EKA-A,,,1,,,,,grimshawi,vesciseta,,,,,593900.5113,2370990.306,,,,,,3996,192
OANRP,ambochila,Oahu,21.4388614,-158.0938446,Honouliuli,FR,"Ekahanui, South",2200,A,1/14/15,2015,Y,EKA-A,,,42,,,,,grimshawi,vesciseta,,,,,593900.5113,2370990.306,,,,,,4028,224
"Montgomery, 1975",ambochila,Oahu,21.43986733,-158.0948865,Honouliuli,FR,Ekahanui,2200,,8/30/72,1972,N,Q12,5,1,6,,ex Pisonia stems,,,grimshawi,vesciseta,,,,,,,,,,,,447,173
KYK database,ambochila,Oahu,21.44016,-158.09249,Honouliuli,FR,Puu Kaua,1800,,2/28/71,1971,N,P072,,,9,,on rotting kukui,,,grimshawi,vesciseta,,,,,,,,,,,,3983,171
KYK database,ambochila,Oahu,21.4403,-158.09715,Honouliuli,FR,Puu Kaua,,,8/2/70,1970,N,,,,,,,,,grimshawi,vesciseta,,,,,,,,,,,,1636,169
KYK database,ambochila,Oahu,21.4403,-158.09715,Honouliuli,FR,Puu Kaua,2200,,2/28/71,1971,N,P072,12,39,,,on rotting Urera kaalae,,,grimshawi,vesciseta,,,,,,,,,,,,1637,170
KYK database,ambochila,Oahu,21.4403,-158.09715,Honouliuli,FR,Puu Kaua,,,10/10/71,1971,N,Q012,,,,,,,,grimshawi,vesciseta,,,,,,,,,,,,1638,172
KYK database,ambochila,Oahu,21.4403,-158.09715,Honouliuli,FR,Puu Kaua,,,2/28/97,1997,Y,,,,,,,,,grimshawi,vesciseta,,,,,,,,,,,,1640,175
KYK database,ambochila,Oahu,21.4403,-158.09715,Honouliuli,FR,Puu Kaua,,,9/28/97,1997,Y,,,,,,,,,grimshawi,vesciseta,,,,,,,,,,,,1641,176
KYK database,ambochila,Oahu,21.4403,-158.09715,Honouliuli,FR,Puu Kaua,,,8/2/98,1998,Y,,,,,,,,,grimshawi,vesciseta,,,,,,,,,,,,1642,177
KYK database,ambochila,Oahu,21.4403,-158.09715,Honouliuli,FR,Puu Kaua,,,8/5/98,1998,Y,,,,,,,,,grimshawi,vesciseta,,,,,,,,,,,,1643,178
"Hardy & Kaneshiro, 1971",ambochila,Oahu,21.46023086,-158.1002843,Honouliuli,FR,gulch between Puu Hapapa and Puu Kanehoa,,,2/2/70,1970,N,,1,,1,SLM,holotype,,,grimshawi,vesciseta,,,,,,,,,,,,1456,167
"Hardy & Kaneshiro, 1971",ambochila,Oahu,21.46023086,-158.1002843,Honouliuli,FR,gulch between Puu Hapapa and Puu Kanehoa,,,2/14/70,1970,N,,1,,1,SLM,paratype,,,grimshawi,vesciseta,,,,,,,,,,,,1457,168
UHH,ambochila,Oahu,21.46023086,-158.1002843,Honouliuli,FR,Kaluaa Gulch,2200,A,1/26/10,2010,Y,m0207-05,8,3,11,KNM,on bait sponge,,,grimshawi,vesciseta,,Kaluaa End,4,Q,593219.5686,2373351.823,21.46023086,-158.1002843,991,16,61,217,181
OANRP,ambochila,Oahu,21.4602848,-158.100306,Honouliuli,FR,"Kaluaa, Central",2100,A,6/27/13,2013,Y,KAL-C,,,15,,,,,grimshawi,vesciseta,,,,,593217.2935,2373357.785,,,,,,3993,189
OANRP,ambochila,Oahu,21.4602848,-158.100306,Honouliuli,FR,"Kaluaa, Central",2100,A,10/30/13,2013,Y,KAL-C,,,8,,,,,grimshawi,vesciseta,,,,,593217.2935,2373357.785,,,,,,4000,196
OANRP,ambochila,Oahu,21.4602848,-158.100306,Honouliuli,FR,"Kaluaa, Central",2100,A,2/27/14,2014,Y,KAL-C,,,170,,,,,grimshawi,vesciseta,,,,,593217.2935,2373357.785,,,,,,4008,204
OANRP,ambochila,Oahu,21.4602848,-158.100306,Honouliuli,FR,"Kaluaa, Central",2100,A,4/3/14,2014,Y,KAL-C,,,52,,,,,grimshawi,vesciseta,,,,,593217.2935,2373357.785,,,,,,4013,209
OANRP,ambochila,Oahu,21.4602848,-158.100306,Honouliuli,FR,"Kaluaa, Central",2100,A,4/23/14,2014,Y,KAL-C,,,33,,,,,grimshawi,vesciseta,,,,,593217.2935,2373357.785,,,,,,4014,210
OANRP,ambochila,Oahu,21.4602848,-158.100306,Honouliuli,FR,"Kaluaa, Central",2100,A,5/19/14,2014,Y,KAL-C,,,10,,,,,grimshawi,vesciseta,,,,,593217.2935,2373357.785,,,,,,4017,213
OANRP,ambochila,Oahu,21.4602848,-158.100306,Honouliuli,FR,"Kaluaa, Central",2100,A,8/26/14,2014,Y,KAL-C,,,1,,,,,grimshawi,vesciseta,,,,,593217.2935,2373357.785,,,,,,4023,219
OANRP,ambochila,Oahu,21.4602848,-158.100306,Honouliuli,FR,"Kaluaa, Central",2100,A,9/30/14,2014,Y,KAL-C,,,1,,,,,grimshawi,vesciseta,,,,,593217.2935,2373357.785,,,,,,4024,220
OANRP,ambochila,Oahu,21.4602848,-158.100306,Honouliuli,FR,"Kaluaa, Central",2100,A,11/24/14,2014,Y,KAL-C,,,2,,,,,grimshawi,vesciseta,,,,,593217.2935,2373357.785,,,,,,4026,222
OANRP,ambochila,Oahu,21.4602848,-158.100306,Honouliuli,FR,"Kaluaa, Central",2100,A,1/26/15,2015,Y,KAL-C,,,50,,,,,grimshawi,vesciseta,,,,,593217.2935,2373357.785,,,,,,4029,225
OANRP,ambochila,Oahu,21.4602848,-158.100306,Honouliuli,FR,"Kaluaa, Central",2100,A,2/24/15,2015,Y,KAL-C,,,323,,,,,grimshawi,vesciseta,,,,,593217.2935,2373357.785,,,,,,4034,230
OANRP,ambochila,Oahu,21.4602848,-158.100306,Honouliuli,FR,"Kaluaa, Central",2100,A,3/30/15,2015,Y,KAL-C,,,25,,,,,grimshawi,vesciseta,,,,,593217.2935,2373357.785,,,,,,4037,233
OANRP,ambochila,Oahu,21.4602848,-158.100306,Honouliuli,FR,"Kaluaa, Central",2100,A,4/14/15,2015,Y,KAL-C,,,163,,,,,grimshawi,vesciseta,,,,,593217.2935,2373357.785,,,,,,4039,235
OANRP,ambochila,Oahu,21.4602848,-158.100306,Honouliuli,FR,"Kaluaa, Central",2100,A,5/28/15,2015,Y,KAL-C,,,39,,,,,grimshawi,vesciseta,,,,,593217.2935,2373357.785,,,,,,4045,241
OANRP,ambochila,Oahu,21.4602848,-158.100306,Honouliuli,FR,"Kaluaa, Central",2100,A,6/29/15,2015,Y,KAL-C,,,1,,,,,grimshawi,vesciseta,,,,,593217.2935,2373357.785,,,,,,4048,244
UHH,ambochila,Oahu,21.461781,-158.0991193,Honouliuli,TNC,Kaluaa Gulch,2100,A,2/24/07,2007,Y,07-0059,,,,KNM,,"Central Kaluaa, North Branch",,grimshawi,vesciseta,,CLAPAT,4,Q,593339.3,2373524.1,21.461781,-158.0991193,145,476,691,361,179
Price/Yew/Medeiros,ambochila,Oahu,21.46415,-158.09777,Kaluaa,,,,,3-Dec-20,,,,,,,,,,,grimshawi,vesciseta,,,,,,,,,,,,,
Price/Yew/Medeiros,ambochila,Oahu,21.46415,-158.09777,Kaluaa,,,,,3-Dec-20,,,,,,,,,,,grimshawi,vesciseta,,,,,,,,,,,,,
Price/Yew/Medeiros,ambochila,Oahu,21.46415,-158.09777,Kaluaa,,,,,3-Dec-20,,,,,,,,,,,grimshawi,vesciseta,,,,,,,,,,,,,
Price/Yew/Medeiros,ambochila,Oahu,21.46415,-158.09777,Kaluaa,,,,,3-Dec-20,,,,,,,,,,,grimshawi,vesciseta,,,,,,,,,,,,,
Price/Yew/Medeiros,ambochila,Oahu,21.46415,-158.09777,Kaluaa,,,,,3-Dec-20,,,,,,,,,,,grimshawi,vesciseta,,,,,,,,,,,,,
Price/Yew/Medeiros,ambochila,Oahu,21.46415,-158.09777,Kaluaa,,,,,3-Dec-20,,,,,,,,,,,grimshawi,vesciseta,,,,,,,,,,,,,
OANRP,ambochila,Oahu,21.464663,-158.1010154,Honouliuli,FR,"Kaluaa, North",2100,A,10/24/13,2013,Y,KAL-B,,,11,,,,,grimshawi,vesciseta,,,,,593141.0011,2373841.981,,,,,,3999,195
OANRP,ambochila,Oahu,21.464663,-158.1010154,Honouliuli,FR,"Kaluaa, North",2100,A,12/4/13,2013,Y,KAL-B,,,45,,,,,grimshawi,vesciseta,,,,,593141.0011,2373841.981,,,,,,4003,199
OANRP,ambochila,Oahu,21.464663,-158.1010154,Honouliuli,FR,"Kaluaa, North",2100,A,12/30/13,2013,Y,KAL-B,,,37,,,,,grimshawi,vesciseta,,,,,593141.0011,2373841.981,,,,,,4004,200
OANRP,ambochila,Oahu,21.464663,-158.1010154,Honouliuli,FR,"Kaluaa, North",2100,A,2/25/14,2014,Y,KAL-B,,,9,,,,,grimshawi,vesciseta,,,,,593141.0011,2373841.981,,,,,,4006,202
OANRP,ambochila,Oahu,21.464663,-158.1010154,Honouliuli,FR,"Kaluaa, North",2100,A,3/24/14,2014,Y,KAL-B,,,107,,,,,grimshawi,vesciseta,,,,,593141.0011,2373841.981,,,,,,4010,206
OANRP,ambochila,Oahu,21.464663,-158.1010154,Honouliuli,FR,"Kaluaa, North",2100,A,4/30/14,2014,Y,KAL-B,,,2,,,,,grimshawi,vesciseta,,,,,593141.0011,2373841.981,,,,,,4015,211
OANRP,ambochila,Oahu,21.464663,-158.1010154,Honouliuli,FR,"Kaluaa, North",2100,A,5/22/14,2014,Y,KAL-B,,,50,,,,,grimshawi,vesciseta,,,,,593141.0011,2373841.981,,,,,,4019,215
OANRP,ambochila,Oahu,21.464663,-158.1010154,Honouliuli,FR,"Kaluaa, North",2100,A,7/16/14,2014,Y,KAL-B,,,1,,,,,grimshawi,vesciseta,,,,,593141.0011,2373841.981,,,,,,4022,218
OANRP,ambochila,Oahu,21.464663,-158.1010154,Honouliuli,FR,"Kaluaa, North",2100,A,10/27/14,2014,Y,KAL-B,,,2,,,,,grimshawi,vesciseta,,,,,593141.0011,2373841.981,,,,,,4025,221
OANRP,ambochila,Oahu,21.464663,-158.1010154,Honouliuli,FR,"Kaluaa, North",2100,A,1/27/15,2015,Y,KAL-B,,,23,,,,,grimshawi,vesciseta,,,,,593141.0011,2373841.981,,,,,,4030,226
OANRP,ambochila,Oahu,21.464663,-158.1010154,Honouliuli,FR,"Kaluaa, North",2100,A,2/23/15,2015,Y,KAL-B,,,106,,,,,grimshawi,vesciseta,,,,,593141.0011,2373841.981,,,,,,4033,229
OANRP,ambochila,Oahu,21.464663,-158.1010154,Honouliuli,FR,"Kaluaa, North",2100,A,3/31/15,2015,Y,KAL-B,,,9,,,,,grimshawi,vesciseta,,,,,593141.0011,2373841.981,,,,,,4038,234
OANRP,ambochila,Oahu,21.464663,-158.1010154,Honouliuli,FR,"Kaluaa, North",2100,A,4/21/15,2015,Y,KAL-B,,,34,,,,,grimshawi,vesciseta,,,,,593141.0011,2373841.981,,,,,,4041,237
OANRP,ambochila,Oahu,21.464663,-158.1010154,Honouliuli,FR,"Kaluaa, North",2100,A,5/27/15,2015,Y,KAL-B,,,28,,,,,grimshawi,vesciseta,,,,,593141.0011,2373841.981,,,,,,4044,240
OANRP,ambochila,Oahu,21.464663,-158.1010154,Honouliuli,FR,"Kaluaa, North",2100,A,6/25/15,2015,Y,KAL-B,,,2,,,,,grimshawi,vesciseta,,,,,593141.0011,2373841.981,,,,,,4047,243
UHH,ambochila,Oahu,21.46648175,-158.102769,Honouliuli,FR,Puu Hapapa shelf,2600,A,2/24/10,2010,Y,m0220-05,6,1,7,KNM,camp sponges,,,grimshawi,vesciseta,,Hapapa Upper,4,Q,592934.4667,2374042.809,21.46648804,-158.1029976,1051,17,59,228,182
UHH,ambochila,Oahu,21.46648804,-158.1029976,Honouliuli,FR,Puu Hapapa shelf,2650,A,2/24/10,2010,Y,m0219-03,1,,1,KNM,upper sponges,,,grimshawi,vesciseta,,Hapapa Shelter,4,Q,592958.1537,2374042.249,21.46648175,-158.102769,1061,18,7,233,183
OANRP,ambochila,Oahu,21.4666786,-158.1028199,Honouliuli,FR,"Kaluaa, Puu Hapapa",2650,A,6/25/13,2013,Y,KAL-A,,,6,,,,,grimshawi,vesciseta,,,,,592952.7573,2374064.003,,,,,,3992,188
OANRP,ambochila,Oahu,21.4666786,-158.1028199,Honouliuli,FR,"Kaluaa, Puu Hapapa",2650,A,7/31/13,2013,Y,KAL-A,,,4,,,,,grimshawi,vesciseta,,,,,592952.7573,2374064.003,,,,,,3994,190
OANRP,ambochila,Oahu,21.4666786,-158.1028199,Honouliuli,FR,"Kaluaa, Puu Hapapa",2650,A,9/5/13,2013,Y,KAL-A,,,15,,,,,grimshawi,vesciseta,,,,,592952.7573,2374064.003,,,,,,3995,191
OANRP,ambochila,Oahu,21.4666786,-158.1028199,Honouliuli,FR,"Kaluaa, Puu Hapapa",2650,A,9/30/13,2013,Y,KAL-A,,,2,,,,,grimshawi,vesciseta,,,,,592952.7573,2374064.003,,,,,,3997,193
OANRP,ambochila,Oahu,21.4666786,-158.1028199,Honouliuli,FR,"Kaluaa, Puu Hapapa",2650,A,10/31/13,2013,Y,KAL-A,,,6,,,,,grimshawi,vesciseta,,,,,592952.7573,2374064.003,,,,,,4001,197
OANRP,ambochila,Oahu,21.4666786,-158.1028199,Honouliuli,FR,"Kaluaa, Puu Hapapa",2650,A,12/3/13,2013,Y,KAL-A,,,15,,,,,grimshawi,vesciseta,,,,,592952.7573,2374064.003,,,,,,4002,198
OANRP,ambochila,Oahu,21.4666786,-158.1028199,Honouliuli,FR,"Kaluaa, Puu Hapapa",2650,A,1/23/14,2014,Y,KAL-A,,,11,,,,,grimshawi,vesciseta,,,,,592952.7573,2374064.003,,,,,,4005,201
OANRP,ambochila,Oahu,21.4666786,-158.1028199,Honouliuli,FR,"Kaluaa, Puu Hapapa",2650,A,2/26/14,2014,Y,KAL-A,,,5,,,,,grimshawi,vesciseta,,,,,592952.7573,2374064.003,,,,,,4007,203
OANRP,ambochila,Oahu,21.4666786,-158.1028199,Honouliuli,FR,"Kaluaa, Puu Hapapa",2650,A,3/25/14,2014,Y,KAL-A,,,15,,,,,grimshawi,vesciseta,,,,,592952.7573,2374064.003,,,,,,4011,207
OANRP,ambochila,Oahu,21.4666786,-158.1028199,Honouliuli,FR,"Kaluaa, Puu Hapapa",2650,A,5/1/14,2014,Y,KAL-A,,,7,,,,,grimshawi,vesciseta,,,,,592952.7573,2374064.003,,,,,,4016,212
OANRP,ambochila,Oahu,21.4666786,-158.1028199,Honouliuli,FR,"Kaluaa, Puu Hapapa",2650,A,5/21/14,2014,Y,KAL-A,,,7,,,,,grimshawi,vesciseta,,,,,592952.7573,2374064.003,,,,,,4018,214
OANRP,ambochila,Oahu,21.4666786,-158.1028199,Honouliuli,FR,"Kaluaa, Puu Hapapa",2650,A,7/15/14,2014,Y,KAL-A,,,1,,,,,grimshawi,vesciseta,,,,,592952.7573,2374064.003,,,,,,4021,217
